table_name,description,calculated_metrics
3_PRP.V_MID_DATACENTER_SUPPLY,"Datacenter-level supply inventory containing total power, available power, raised floor space, operational status, internal/external flag, provider, and regional attributes.","TotalDeployed; AvailableDeployed; UnderConstructionPower; Land; LiveInventory; VacantInventory; LiveRaisedSpace; VacantRaisedSpace; TotalCurrentMarketPower; CurrentMarketSharePower; TotalFutureMarketPower; FutureMarketSharePower;TotalPowerUtilized;OccupiedPowerMarketShare; MarketSharePower;TotalCurrentMarketSpace; CurrentMarketShareSpace; TotalFutureMarketSpace; FutureMarketShareSpace; AvailableMarketSpace; OccupiedSpaceMarketShare; MarketShareSpace"
3_PRP.V_CURRENT_QUARTER_SUPPLY_DATA,"Quarterly regional supply dataset containing quarter-over-quarter changes in power and market-level percentage metrics.","Total Deployed QoQ; Available Deployed QoQ; Underconstruction QoQ; Land QoQ; Total Deployed QoQ percent; Available Deployed QoQ percent; Underconstruction QoQ percent; Land QoQ percent"
3_PRP.V_CURRENT_QUARTER_DLR_DATA,"Quarterly regional demand dataset containing quarter-over-quarter changes in inventory and raised floor space metrics.","Live Inventory QoQ; Vacant Inventory QoQ; Live raised space QoQ; Vacant raised space QoQ; Live Inventory QoQ percent; Vacant Inventory QoQ percent; Live raised space QoQ percent; Vacant raised space QoQ percent"
3_PRP.V_MARKET_ACTIVITIES, "Market development activities tracking strategic projects, cable infrastructure, and provider details across business regions", "High Impact;Medium Impact"
3_PRP.V_LP_SUPPLY_CAGR_FORECAST,"Long-term supply forecast dataset containing historical, current, and forward-lookings power and space projections with CAGR metrics by geography and property type.",""
3_PRP.V_MID_CAPABILITIES,"Cloud deployment capabilities view detailing cloud provider presence, data center locations, operational status, node types, availability zones, and hierarchical geographic attributes for market and infrastructure analysis.",""
3_PRP.V_LP_MARKET_INTELLIGENCE_COMPARABLES,"Market intelligence comparables dataset used for competitive benchmarking of data center lease transactions. The table enables comparison of lease economics, power and space commitments, redundancy, product type, customer profiles, and deal terms across different providers, markets, regions, and sign quarters to evaluate relative performance, efficiency, and pricing.",""
3_PRP.V_GLOBAL_CAPACITY_REPORT,"Site-level global capacity reporting view providing visibility into vacant, under-construction, expiring, and future data center capacity across markets, properties, and regions for supply availability analysis.",""
3_PRP.VW_DataHallSupply,"Data hallâ€“level supply inventory providing granular visibility into available and utilized space, power, cabinets, and cages across data halls, properties, markets, and regions for detailed capacity and utilization analysis.",""
3_PRP.V_MID_DTV_DATACENTER_SUPPLY_PREVIOUS_QUARTERS,"Historical snapshot view of data center supply metrics by quarter, capturing space and power capacity, availability, ownership, product type, provider, geography, and operational status for quarter-over-quarter trend analysis.",""
